"","adf.01_noInt","adf.05_noInt","adf.1_noInt","HF.01_noInt","HF.05_noInt","HF.1_noInt","adf.01_wInt","adf.05_wInt","adf.1_wInt","HF.01_wInt","HF.05_wInt","HF.1_wInt"
"5-20-pois-.2-200",0.945,0.851,0.774,0.7251,0.7251,0.6974,0.688,0.483,0.374,0.441,0.441,0.4305
"5-20-pois-.6-50",0.398,0.848,0.817,0.3459,0.3459,0.3413,0.003,0.187,0.434,0.18,0.18,0.1801
"5-20-pois-.6-75",0.953,0.901,0.856,0.5054,0.5054,0.4934,0.463,0.803,0.738,0.2704,0.2704,0.2687
"5-20-pois-.6-100",0.967,0.896,0.831,0.5982,0.5982,0.5793,0.899,0.831,0.719,0.3486,0.3486,0.3439
"5-20-pois-.6-200",0.97,0.909,0.847,0.7239,0.7239,0.6975,0.949,0.841,0.747,0.494,0.494,0.4823
"5-30-nopois-.2-50",0.094,0.7925,0.831,0.0819,0.0819,0.0811,0,0.0115,0.1207,0.0335,0.0335,0.0335
"5-30-nopois-.2-75",0.9064,0.8936,0.8354,0.237,0.237,0.2349,0.0952,0.5059,0.4464,0.113,0.113,0.1126
"5-30-nopois-.2-100",0.9549,0.8807,0.8154,0.3606,0.3606,0.3563,0.6803,0.5527,0.4206,0.1854,0.1854,0.1849
"5-30-nopois-.2-200",NA,NA,NA,0.579,0.579,0.5684,0.6432,0.4411,0.3283,0.375,0.375,0.3732
"5-30-nopois-.6-50",0.0921,0.7829,0.8175,0.08,0.08,0.0794,0,0.0169,0.1767,0.0511,0.0511,0.0511
"5-30-nopois-.6-75",0.9043,0.901,0.8377,0.2415,0.2415,0.2393,0.1105,0.7097,0.721,0.1357,0.1357,0.1354
"5-30-nopois-.6-100",0.9672,0.8996,0.8396,0.3693,0.3693,0.364,0.8131,0.8305,0.7331,0.2239,0.2239,0.2225
"5-30-nopois-.6-200",NA,NA,NA,0.5941,0.5941,0.5846,0.9217,0.7906,0.6867,0.3911,0.3911,0.3884
"5-30-pois-.2-50",0.218,0.796,0.789,0.1523,0.1523,0.1509,0,0.024,0.105,0.044,0.044,0.043
"5-30-pois-.2-75",0.897,0.857,0.793,0.3341,0.3341,0.3301,0.149,0.272,0.19,0.117,0.117,0.117
"5-30-pois-.2-100",0.901,0.831,0.759,0.4643,0.4643,0.456,0.457,0.247,0.164,0.197,0.197,0.195
"5-30-pois-.2-200",0.864,0.781,0.707,0.6454,0.6454,0.6303,0.36,0.2,0.124,0.369,0.369,0.364
"5-30-pois-.6-50",0.217,0.8,0.779,0.1648,0.1648,0.1621,0,0.047,0.222,0.069,0.069,0.068
"5-30-pois-.6-75",0.92,0.873,0.81,0.3491,0.3491,0.3437,0.218,0.575,0.479,0.161,0.161,0.16
"5-30-pois-.6-100",0.946,0.875,0.814,0.4587,0.4587,0.452,0.727,0.593,0.453,0.253,0.253,0.251
"5-30-pois-.6-200",0.94,0.858,0.8,0.6556,0.6556,0.6391,0.767,0.568,0.452,0.41,0.41,0.405
"6-30-nopois-.2-50",0.1515,0.8111,0.8202,0.1233,0.1233,0.1222,0,0.02,0.1482,0.0425,0.0425,0.0424
"6-30-nopois-.2-75",0.92,0.8863,0.8231,0.2921,0.2921,0.2851,0.1459,0.4975,0.4151,0.1287,0.1287,0.1283
"6-30-nopois-.2-100",0.95,0.873,0.8071,0.3914,0.3914,0.3831,0.6755,0.5126,0.3788,0.204,0.204,0.2018
"6-30-nopois-.2-200",0.9163,0.8264,0.7572,0.5986,0.5986,0.5801,0.6103,0.3954,0.2868,0.3774,0.3774,0.3724
"6-30-nopois-.6-50",0.145,0.8075,0.8174,0.1241,0.1241,0.1228,0,0.0287,0.2288,0.0673,0.0673,0.0672
"6-30-nopois-.6-75",0.9232,0.8961,0.8346,0.2973,0.2973,0.2911,0.1767,0.7242,0.6985,0.1683,0.1683,0.1678
"6-30-nopois-.6-100",0.9648,0.9001,0.8352,0.3949,0.3949,0.3868,0.8452,0.8135,0.705,0.2369,0.2369,0.2344
"6-30-nopois-.6-200",0.9621,0.8912,0.8319,0.5975,0.5975,0.5798,0.9059,0.7657,0.6545,0.4099,0.4099,0.4038
"6-30-pois-.2-50",0.096,0.787,0.847,0.0578,0.0578,0.0571,0,0.012,0.151,0.036,0.036,0.036
"6-30-pois-.2-75",0.93,0.934,0.88,0.2044,0.2044,0.1998,0.13,0.653,0.622,0.115,0.115,0.114
"6-30-pois-.2-100",0.972,0.922,0.871,0.3293,0.3293,0.321,0.768,0.767,0.644,0.208,0.208,0.204
