"Argentina","Australia","Austria","Belgium","Bolivia..Plurinational.State.of.","Brazil","Canada","Colombia","Costa.Rica","Cyprus","Denmark","D.R..of.the.Congo","Ecuador","Egypt","El.Salvador","Ethiopia","Finland","France","Germany","Guatemala","Honduras","Iceland","India","Ireland","Israel","Italy","Japan","Kenya","Luxembourg","Mauritius","Mexico","Morocco","Netherlands","New.Zealand","Nicaragua","Nigeria","Norway","Pakistan","Panama","Peru","Philippines","Portugal","South.Africa","Spain","Sri.Lanka","Sweden","Switzerland","Thailand","Trinidad.and.Tobago","Turkey","Uganda","United.Kingdom","United.States","Uruguay","Venezuela..Bolivarian.Republic.of."
8932.81516498874,14223.1404571766,6668.61020071365,8692.14854404524,4185.48628766579,2901.43028007761,12904.828698018,3599.03224755349,2826.11161358294,2850.92339502984,11773.3297455121,1587.08649707591,2927.11125398756,1532.17775245895,3297.1130370324,483.734212160307,6743.97819866295,7813.3065468403,6458.38751799257,3219.67056221084,2808.12507711166,7837.29856480818,804.757434444792,7695.64705807445,4677.67580229344,6187.74159228274,3110.30739515201,1857.26391779262,11660.6826388407,4317.14201126257,4656.04634955046,1877.18004656875,9967.24641937649,13289.6510248663,2977.5158083138,1920.92197567572,16589.9970361137,1284.28962449029,2550.41042225979,3820.58541205367,2039.68852830144,3527.13100099062,6042.8661322708,4434.95761438994,1461.62515301334,11013.8532825402,20786.5042883581,1224.10748914975,4630.41880508086,3375.50171616976,940.065445894942,10428.4350439396,14490.9401552387,6592.71418342898,9591.16580527652
9262.19738793261,14168.0079196297,7081.44881660759,8978.57336356928,4475.47324216249,2957.68319109164,13168.7783416331,3568.76075724743,2830.2975524942,2847.12523161588,11488.1319411528,1784.49079551113,2909.89889019311,1528.21133504865,3340.88459015295,544.165907442248,7239.14587126074,8181.15663555641,7050.2223216474,3162.03434150155,2800.54898285327,7584.59264591314,806.162561297357,7968.55374087023,5253.88325484519,6684.34190121222,3334.50711841407,2122.76445589821,11084.2671276904,4393.14133366149,4964.42774499785,1843.60472689698,10062.4070510547,12776.9157387894,3292.59436228931,1994.29027238629,16799.6507514039,1271.50191022484,2464.11867868459,4031.09612601638,2187.72899041674,3830.50801838729,6167.62573871455,5138.28875133774,1516.0524604579,11235.4328018889,22210.419291692,1132.68310990505,4968.63589503153,4065.97148671002,1032.71507670214,10838.2779260624,15395.1312340318,7517.1820308697,10157.6555094905
8535.30532920472,13305.7060267016,7061.71300893136,9142.22995852587,4402.23527524145,3083.491153013,13832.7043794574,3686.04505346403,3077.81686917169,3108.73276936893,11661.4590137728,1876.0280634414,3163.66134651631,1593.36969658767,3493.23630869973,553.413449301106,7526.02157343334,8383.20933718411,7666.67271693495,3125.70986769021,2616.69001906333,7316.66502197529,832.487098508144,7850.34359586898,5042.21229941722,6935.78491866341,3690.63384810926,1946.76167089568,11637.7450260382,4140.30279261739,5007.92602226305,1873.88865503257,10120.4126030243,12472.1658618618,3778.16198160334,2081.63928596339,17491.4368982583,1274.92670310799,2528.76058987429,4176.07773771135,2257.83281715995,3969.73680145236,6217.56313776757,5337.7754245508,1561.22969598612,11328.5613462611,22086.8574058788,1071.03929818705,5055.52268610571,4293.75286356237,1086.91203338745,10892.8357938163,15749.9994544584,7140.68260704201,11153.1605422076
8722.82206212513,14471.5970381645,7288.75362145991,9393.10934847697,3621.69797685767,3136.22778445248,14133.8217386307,3851.07548359122,3492.39194287771,3385.98839812925,12285.5807027667,2027.94613816459,3189.14936075807,1632.15757075192,3658.55357121465,596.020596444802,7409.1632182429,8616.93812764157,8302.02111846595,3138.11831635874,2710.69953304804,8233.02649057153,864.972512073175,8153.38877478134,4831.47541709272,7318.6553903979,3884.31172855616,1810.04785293337,11839.2381366658,4059.51752290063,4829.06348841905,1913.95781098188,10931.3376260769,12410.2490540574,3818.40307397561,2086.06083145897,18523.2635316493,1360.19504238612,2621.25214034657,4288.6386836368,2387.28254421245,4152.84084395131,6320.42652079992,5105.94809447722,1448.17589737669,11640.7462788755,22573.4653587943,937.46029549914,5037.0848092204,4722.98038442679,996.593937501006,11358.5930746104,16218.5353756532,7413.05448956062,10965.7828109632
8837.30551975883,15273.1778342621,7881.47919150794,9761.06267990246,3644.49736085104,3283.75714728771,13570.459330882,4017.18803884381,3503.52976137738,3409.70500260205,12794.8270160723,2076.61652659976,3400.52333514947,1551.04695251747,3650.7712304743,598.954785426495,7922.18136107045,9038.67744165225,8893.8585251661,3094.65781815447,2296.01373524242,8811.7719668868,881.282935220672,8245.23986701952,5618.65920693299,7564.39498893135,4027.08370020966,1906.02266756008,11673.3001138479,3747.28772044249,5201.4151263211,1905.86556011065,11606.5174656061,13572.3842335934,4165.96056208946,2195.36268731414,19046.108066132,1316.6415314563,2652.19773079441,4449.18005575619,2491.23435680043,4311.41413154646,6570.10359111865,5759.79501965703,1513.5339108669,12244.6501735457,23590.3664748892,994.400311380561,5108.88245113383,4156.90056762712,945.238188107009,11656.5729643267,15845.9400149238,7965.19723429735,11574.7921103159
9281.11651131169,15510.992850862,8775.49744131262,10051.9159930396,3920.20654276241,3469.52977497317,14441.7272775892,4057.72238826504,3732.32961402914,3523.60078734053,12643.0773430812,2166.23608112045,3462.47198353684,1512.07108837013,3735.08214721663,619.436632720043,8472.99521040878,9439.26759651349,9909.54778812482,3070.76635761982,2276.63597075321,9552.95327963058,884.325684527947,8687.18560362193,6167.90219783756,7914.28993371403,4259.12988458878,1961.92127326117,12163.6851519258,3786.30424687452,5462.84701369741,1730.6293199658,12336.2865331628,13833.0181734731,4184.57350160385,2168.09858522819,19319.8016443374,1294.0040898923,2734.50096989436,4540.98836265616,2586.95109842149,4455.404573084,6773.42510030297,6053.45533413732,1547.38835537418,12524.4033956592,24925.4532642355,892.33745507999,5672.18404774721,4452.05952684989,977.184916467764,11952.9978323754,16677.2969530943,7985.70766982893,11843.5482101905
9355.99837573264,15180.8331941974,9309.11694607771,10304.1538037126,3664.74498153851,3465.87577457173,15400.1828766766,4030.99823775983,3547.80259359111,4091.95504352755,12818.2099625926,2241.82460160688,3481.90827164866,1503.20860030339,3862.14337211936,621.13396483756,8626.40526252253,9823.23249618062,10608.0318033279,3243.56759847321,2624.44936897646,9634.54099899856,891.527060331681,8450.08071974538,6434.73926643616,8191.64885840061,4530.3234060059,2004.51380952036,12607.4680244719,3705.36337782541,5724.8982111398,1715.38674475503,12753.3001786204,13757.0432331689,4072.32737318835,2073.81025742601,19696.678388691,1328.10408387531,2805.13111389693,4611.62005293578,2689.77171019426,4628.15166195305,6992.35664534232,6464.11549596268,1326.29940809463,12851.4820568468,26235.039241683,903.83665257989,6287.03175459698,4368.80971347239,1002.5332447041,12016.575216073,16733.1737939816,7883.139242867,12488.9312431801
9547.58375577706,15174.7852701688,9830.55620725485,10428.2616541395,3592.71676806846,3623.46234374161,15267.122008859,3924.23824028706,3650.50625049041,4444.33361916923,13229.0262499115,2217.78317163592,3515.11943910481,1536.45196890337,3917.07373819231,611.362798534559,8578.11120556184,10250.0702394518,11178.4335018369,3317.45917268814,2574.040651879,9430.82631744887,875.200344807789,8257.39501519062,6663.76056720432,8457.82162139935,4841.90787073612,2034.80839117423,13170.5588098344,3727.65927540333,5997.60308008674,1604.22129069749,12984.3146496542,14142.5659223652,4209.34582794201,2071.50468375458,20317.0335071628,1312.15496984835,3019.73821561089,4793.15005966448,2740.74556377976,4819.79519438892,7109.79913352907,6689.50091654337,1333.08601384997,13066.3367354908,26847.758578514,999.856027486458,6908.87342555696,5155.33048465811,1019.79951904376,12107.5600159815,16779.4191474463,8025.521590416,13135.0550153534
10006.699644716,15872.8638863156,10158.8583815019,10300.0571135851,3468.21953493126,3896.96545792751,15117.8879418343,3838.16388024676,3927.49086840121,4036.82999917566,13456.5459180349,2124.74425791398,3512.52621841374,1643.14516179646,3851.75757757241,653.25093125705,8499.19081451749,10417.331522692,11597.0682228125,3361.43034474903,2668.82149629427,10069.4625542706,919.21772721788,8308.88727691527,6868.00059530642,8801.97331555406,5096.71952867971,1981.84123514302,13262.8123643403,3605.05361080631,6070.27972300676,1738.70158242188,12671.0657187565,13910.9480571163,4062.60050981109,2148.79555644222,20437.0088004355,1313.46732513255,2982.72636726324,4638.82711477509,2758.20763636248,4818.65873987937,7132.59980139226,6920.03696960992,1391.48575535363,13304.0265641161,25903.7907762844,987.824545558059,7458.29048958624,5385.29167258531,970.181202484534,12094.3693491213,16380.0432176808,7445.09414918582,12978.6879631225
9364.97958637955,16485.2828113517,10417.4346649944,10602.63677623,3473.85839883816,4152.97962183153,15371.4937947582,3965.70134170787,3889.02677748801,4195.63916138252,14433.036514809,2124.69724539414,3578.44163932996,1672.03926574536,3808.6129209528,627.086440830693,9050.71981491109,10587.0869435406,12418.0066870444,3414.59386246008,2756.97817122066,10143.4661463917,919.16884641121,8808.6132312702,7532.37325071818,9308.96331775674,5522.32351569933,1861.30840042663,13204.8652684673,3603.7958061945,5999.10814609118,1734.50743910432,13107.6444974897,14137.1249900065,3859.67637030046,2188.45879492973,20873.8425667388,1323.5780143269,3088.58882233568,4679.35326508095,2854.17874703413,5049.96333950872,7287.40496966976,6672.84285911549,1380.40993581119,13944.2400717529,27226.1303014122,1065.6512284382,7793.04167157252,5118.88424178267,989.664745561444,12402.5248675688,17220.3521442625,7177.00829901973,13146.3286324385
